incident at sensor (i),road,mile,type,date,incident_time,incident_hour,data_time,weather,light,speed (i-5),volume (i-5),occupancy (i-5),speed (i-4),volume (i-4),occupancy (i-4),speed (i-3),volume (i-3),occupancy (i-3),speed (i-2),volume (i-2),occupancy (i-2),speed (i-1),volume (i-1),occupancy (i-1),speed (i),volume (i),occupancy (i),speed (i+1),volume (i+1),occupancy (i+1),speed (i+2),volume (i+2),occupancy (i+2),speed (i+3),volume (i+3),occupancy (i+3),speed (i+4),volume (i+4),occupancy (i+4),speed (i+5),volume (i+5),occupancy (i+5)
0,00I24W,181.4,None,2021-02-03,14:11,14,14:03:00,--,Daylight,60.333333333333336,17,8.666666666666666,,,,60.0,6,7.0,59.333333333333336,26,11.666666666666666,62.0,25,9.666666666666666,39.75,20,8.5,39.0,24,24.5,41.0,32,17.25,33.0,12,17.5,21.5,13,26.5,67.5,12,5.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:03:30,--,Daylight,59.333333333333336,27,14.0,,,,53.666666666666664,6,15.666666666666666,60.333333333333336,18,11.0,59.666666666666664,20,8.666666666666666,48.333333333333336,18,30.75,41.5,22,7.75,38.75,14,14.25,32.5,12,13.5,17.5,10,40.5,65.5,7,3.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:04:00,--,Daylight,57.0,15,10.333333333333334,,,,61.5,3,3.0,61.333333333333336,24,10.0,61.666666666666664,25,7.333333333333333,43.0,27,11.75,37.75,26,20.5,39.5,29,18.0,31.0,7,18.5,26.5,11,20.5,68.5,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:04:30,--,Daylight,60.666666666666664,23,11.666666666666666,,,,57.666666666666664,9,16.333333333333332,60.0,27,12.0,61.0,21,10.0,42.75,17,6.75,36.5,23,26.25,43.75,17,8.0,32.5,9,25.5,21.5,15,34.0,68.5,2,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:05:00,--,Daylight,57.333333333333336,24,17.666666666666668,,,,60.5,2,3.6666666666666665,63.0,16,7.0,64.0,19,4.666666666666667,37.0,26,19.0,34.5,19,11.25,42.75,18,12.5,36.0,15,20.0,36.5,15,21.0,66.0,4,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:05:30,--,Daylight,55.0,6,4.0,,,,63.0,5,18.333333333333332,62.333333333333336,25,11.666666666666666,64.0,22,9.333333333333334,41.0,25,12.5,35.0,21,15.5,40.0,18,18.5,32.5,13,17.5,30.5,13,21.5,68.0,3,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:06:00,--,Daylight,59.333333333333336,18,8.0,,,,61.0,8,13.333333333333334,62.0,15,6.333333333333333,60.666666666666664,15,8.333333333333334,27.0,15,13.75,37.0,18,12.75,44.0,16,10.0,32.0,14,20.0,44.0,12,15.0,67.5,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:06:30,--,Daylight,57.333333333333336,25,12.0,,,,63.0,6,14.333333333333334,62.666666666666664,12,8.333333333333334,63.666666666666664,14,7.0,39.666666666666664,20,42.5,36.75,21,9.75,44.0,17,11.75,32.5,14,31.0,41.0,16,21.5,66.5,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:07:00,--,Daylight,64.0,13,5.0,,,,62.0,6,21.666666666666668,62.666666666666664,31,14.0,59.0,28,11.333333333333334,45.0,21,10.5,35.0,18,15.5,46.0,20,11.5,31.0,12,19.5,39.5,14,24.5,70.0,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:07:30,--,Daylight,59.333333333333336,19,10.0,,,,63.5,4,4.0,61.333333333333336,25,14.0,60.0,18,8.333333333333334,26.75,14,22.5,36.25,23,23.75,46.5,21,8.0,31.5,15,27.0,43.5,14,28.0,68.0,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:08:00,--,Daylight,59.333333333333336,14,5.333333333333333,,,,,0,0.3333333333333333,63.333333333333336,21,12.333333333333334,60.0,25,9.0,40.25,24,23.5,34.0,22,12.5,44.0,25,11.0,24.0,13,28.5,30.0,12,27.0,67.5,6,2.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:08:30,--,Daylight,62.666666666666664,22,15.333333333333334,,,,65.0,3,4.333333333333333,64.33333333333333,15,6.0,59.0,15,12.333333333333334,37.75,20,17.75,31.5,31,16.5,46.0,18,11.25,26.5,14,25.0,35.5,10,26.0,67.5,5,5.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:09:00,--,Daylight,60.0,22,11.333333333333334,,,,62.333333333333336,10,22.0,62.333333333333336,22,14.333333333333334,61.333333333333336,12,7.0,45.25,13,26.5,39.75,22,9.25,40.0,22,18.5,27.5,14,17.5,30.0,11,27.5,68.0,6,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:09:30,--,Daylight,60.333333333333336,30,19.666666666666668,,,,58.0,2,3.0,64.33333333333333,10,6.333333333333333,61.666666666666664,11,5.666666666666667,41.75,19,22.25,39.0,22,11.0,43.75,19,12.5,26.0,12,24.5,28.0,13,19.5,70.0,3,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:10:00,--,Daylight,58.0,14,7.666666666666667,,,,65.0,8,15.333333333333334,60.666666666666664,27,23.666666666666668,59.666666666666664,20,13.0,44.5,27,24.75,42.5,14,9.5,37.333333333333336,17,15.25,28.0,12,33.0,27.0,12,24.5,67.0,2,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:10:30,--,Daylight,59.333333333333336,28,17.333333333333332,,,,61.5,6,6.666666666666667,63.333333333333336,17,7.333333333333333,59.666666666666664,28,13.0,45.75,6,5.5,44.25,27,12.0,41.0,25,14.75,28.5,14,22.0,30.5,12,24.5,67.5,5,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:11:00,--,Daylight,61.0,14,8.0,,,,64.5,7,7.0,60.666666666666664,22,11.0,60.333333333333336,32,15.333333333333334,46.0,22,15.0,38.25,22,16.25,40.5,21,15.0,25.5,12,23.0,23.5,15,41.0,65.5,7,2.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:11:30,--,Daylight,59.333333333333336,26,16.0,,,,66.5,3,3.6666666666666665,60.666666666666664,29,19.666666666666668,60.0,31,11.333333333333334,44.25,21,29.25,39.0,22,13.0,39.0,18,16.25,25.5,10,41.0,24.0,13,27.5,65.0,6,3.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:12:00,--,Daylight,59.666666666666664,18,7.333333333333333,,,,65.0,8,16.333333333333332,61.0,30,15.0,62.0,33,14.333333333333334,52.0,18,11.0,38.75,24,11.5,34.0,20,16.5,29.0,15,19.0,29.5,11,28.5,66.5,7,3.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:12:30,--,Daylight,61.0,14,6.666666666666667,,,,59.5,3,3.0,62.333333333333336,22,15.333333333333334,60.333333333333336,18,6.666666666666667,42.0,26,19.5,39.0,25,14.75,36.0,15,30.5,24.5,14,26.0,25.0,14,32.5,66.0,5,2.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:13:00,--,Daylight,57.666666666666664,19,11.0,,,,64.0,1,1.0,62.666666666666664,17,8.333333333333334,64.0,12,4.0,45.75,12,8.5,36.0,24,20.75,41.0,23,12.0,35.0,12,13.5,20.0,11,29.5,66.0,9,4.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:13:30,--,Daylight,59.0,19,13.333333333333334,,,,65.5,7,11.333333333333334,63.0,23,11.666666666666666,62.666666666666664,15,3.3333333333333335,45.0,26,13.75,35.75,21,14.25,35.0,20,15.25,33.0,16,21.0,21.5,7,48.0,66.0,3,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:14:00,--,Daylight,57.666666666666664,15,7.333333333333333,,,,65.5,6,17.0,61.666666666666664,16,14.0,62.666666666666664,12,8.333333333333334,56.0,32,9.75,34.0,21,21.25,34.5,21,32.5,25.0,6,40.0,21.0,13,23.5,66.0,9,4.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:14:30,--,Daylight,56.333333333333336,19,14.333333333333334,,,,63.0,5,9.333333333333334,61.333333333333336,16,9.333333333333334,64.66666666666667,25,8.333333333333334,48.0,17,7.25,35.25,24,22.25,43.75,19,8.0,32.5,9,40.5,21.0,12,28.5,65.5,7,5.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:15:00,--,Daylight,55.666666666666664,25,16.0,,,,70.0,5,14.333333333333334,59.333333333333336,32,19.666666666666668,62.333333333333336,23,11.0,58.75,24,9.75,35.75,25,14.0,37.25,19,18.5,29.0,14,21.0,16.5,11,45.5,67.0,1,0.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:15:30,--,Daylight,57.333333333333336,28,15.333333333333334,,,,54.5,5,5.0,60.666666666666664,15,10.333333333333334,62.666666666666664,19,11.666666666666666,57.75,12,5.5,34.0,18,12.75,35.25,18,27.75,30.0,9,16.0,18.5,10,45.5,67.5,3,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:16:00,--,Daylight,60.0,14,7.333333333333333,,,,66.0,7,9.666666666666666,62.666666666666664,17,9.333333333333334,61.0,18,8.0,59.75,28,11.0,36.75,13,30.25,37.75,17,9.75,26.0,13,23.0,17.5,10,47.0,64.5,4,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:16:30,--,Daylight,56.666666666666664,24,15.0,,,,62.0,6,15.333333333333334,61.333333333333336,22,9.0,58.333333333333336,28,11.666666666666666,58.75,21,10.0,36.25,15,17.25,36.5,23,16.25,29.0,10,24.5,15.0,12,41.5,64.0,9,3.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:17:00,--,Daylight,57.333333333333336,24,11.666666666666666,,,,64.33333333333333,5,19.0,60.666666666666664,25,13.333333333333334,59.666666666666664,24,16.666666666666668,59.0,30,12.25,34.0,12,12.5,38.75,15,23.25,20.0,10,28.0,15.0,13,34.5,65.0,1,0.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:17:30,--,Daylight,61.0,20,12.0,,,,66.0,4,4.0,61.666666666666664,19,16.0,61.0,16,6.666666666666667,60.333333333333336,20,7.5,34.0,26,12.75,39.75,27,17.25,22.5,8,45.0,13.5,12,30.5,62.5,9,4.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:18:00,--,Daylight,62.333333333333336,18,6.666666666666667,,,,36.0,2,2.0,61.0,27,21.333333333333332,60.666666666666664,20,12.333333333333334,62.75,25,7.5,37.25,24,18.0,31.5,19,21.0,19.0,8,35.0,29.5,13,26.5,66.0,7,3.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:18:30,--,Daylight,59.0,16,7.0,,,,68.0,3,29.333333333333332,61.666666666666664,22,14.333333333333334,59.666666666666664,18,6.333333333333333,60.0,18,7.0,36.25,23,16.25,38.75,16,27.5,19.0,12,40.5,25.0,14,18.0,65.5,14,6.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:19:00,--,Daylight,64.33333333333333,13,5.333333333333333,,,,36.0,4,31.666666666666668,62.666666666666664,30,13.333333333333334,60.666666666666664,15,7.0,60.5,24,11.75,37.25,18,19.0,33.25,19,18.75,26.0,12,19.0,20.5,6,32.5,67.0,2,1.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:19:30,--,Daylight,62.333333333333336,24,12.666666666666666,,,,67.0,3,25.333333333333332,61.333333333333336,19,11.0,59.0,29,16.0,64.5,13,7.5,38.0,17,12.5,32.5,17,15.5,20.5,15,25.5,27.0,15,38.5,65.0,5,3.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:20:00,--,Daylight,67.33333333333333,12,5.0,,,,42.333333333333336,6,23.0,64.33333333333333,30,14.333333333333334,62.333333333333336,18,7.666666666666667,60.25,18,4.5,38.25,23,23.75,34.75,25,17.5,29.0,13,35.5,18.0,14,33.5,65.0,5,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:20:30,--,Daylight,64.0,23,17.666666666666668,,,,44.5,2,2.6666666666666665,64.66666666666667,16,9.333333333333334,62.0,24,7.0,60.0,18,8.75,40.0,27,23.75,33.75,13,14.5,32.0,10,22.5,13.5,10,60.0,65.0,6,3.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:21:00,--,Daylight,64.0,15,7.333333333333333,,,,38.0,2,2.0,64.33333333333333,25,15.333333333333334,65.33333333333333,18,10.0,61.5,14,5.75,35.5,22,21.5,32.25,11,22.75,14.0,5,52.0,38.0,11,11.0,66.0,3,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:21:30,--,Daylight,67.66666666666667,15,9.0,,,,48.0,5,6.0,65.33333333333333,18,8.0,62.0,22,8.0,60.75,17,6.75,36.25,17,20.0,37.0,14,15.5,17.0,7,27.0,25.5,12,16.5,66.0,1,0.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:22:00,--,Daylight,64.0,13,6.666666666666667,,,,56.0,3,3.0,63.666666666666664,17,11.333333333333334,63.333333333333336,14,8.0,62.5,14,4.5,34.0,19,15.75,39.5,22,21.25,22.5,9,22.5,37.5,18,31.0,66.5,5,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:22:30,--,Daylight,64.66666666666667,19,9.333333333333334,,,,56.0,8,10.333333333333334,64.66666666666667,16,10.0,63.333333333333336,25,11.0,61.0,10,4.25,33.75,16,20.75,32.75,19,28.75,22.5,14,21.5,37.5,14,21.5,67.0,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:23:00,--,Daylight,60.333333333333336,15,7.333333333333333,,,,59.0,5,21.666666666666668,65.66666666666667,30,11.333333333333334,64.0,19,7.666666666666667,63.0,18,6.5,35.75,14,12.75,37.75,12,13.25,23.5,12,24.0,37.0,12,17.0,66.5,5,2.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:23:30,--,Daylight,63.333333333333336,22,12.666666666666666,,,,60.5,4,4.0,63.666666666666664,13,8.0,64.0,17,8.666666666666666,63.0,19,8.25,34.0,21,21.5,39.0,18,17.0,22.5,13,32.5,37.0,14,23.0,67.0,11,8.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:24:00,--,Daylight,63.0,14,5.0,,,,64.5,5,16.333333333333332,62.333333333333336,22,14.0,63.333333333333336,14,6.666666666666667,60.0,28,14.0,38.25,24,18.25,39.75,15,13.5,38.5,16,19.5,22.5,10,42.0,67.0,7,2.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:24:30,--,Daylight,58.666666666666664,21,14.666666666666666,,,,62.5,4,4.0,63.0,20,7.666666666666667,62.0,30,13.333333333333334,64.0,12,5.5,36.0,18,24.25,37.75,22,12.5,35.5,9,13.0,37.5,13,28.0,67.0,4,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:25:00,--,Daylight,59.333333333333336,29,15.666666666666666,,,,70.5,5,5.0,63.0,27,15.333333333333334,61.0,21,12.333333333333334,56.75,18,7.75,39.25,18,15.5,42.5,17,11.5,44.0,10,13.0,27.5,17,38.0,70.0,9,4.0
0,00I24W,181.4,None,2021-02-03,14:11,14,14:25:30,--,Daylight,64.0,11,5.666666666666667,,,,62.0,3,4.0,63.333333333333336,23,11.666666666666666,63.0,17,7.333333333333333,58.0,24,8.25,39.25,19,20.25,40.5,20,16.0,44.5,11,13.0,16.0,10,44.0,68.5,7,2.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:26:00,--,Daylight,59.666666666666664,20,8.333333333333334,,,,56.0,6,28.333333333333332,65.33333333333333,16,8.0,61.333333333333336,12,5.0,60.0,24,6.75,36.5,20,15.5,44.5,18,15.75,37.5,13,18.5,22.5,12,40.0,70.0,5,1.5
0,00I24W,181.4,None,2021-02-03,14:11,14,14:26:30,--,Daylight,56.0,25,15.333333333333334,,,,65.0,6,17.333333333333332,64.0,9,3.6666666666666665,60.666666666666664,23,9.333333333333334,58.25,19,6.5,38.25,23,20.25,44.25,20,14.0,40.5,11,17.0,25.0,10,43.0,67.0,3,1.0
